cancer	gene_cls	datasource	term	overlap	p_value	adjusted_p_value	old_p_value	old_adjusted_p_value	odds_ratio	combined_score	genes	n_genes	datasource_hr
LUAD	2	PPI_Hub_Proteins	IRS1	7/157	3.4349493584878883e-4	0.06612277515089185	0	0	5.371805694114036	42.84733890297124	MAPK9;MAPK8;PTPRC;RPS3;PHIP;SOCS7;PTK2	7	Hub
LUAD	2	PPI_Hub_Proteins	LCK	8/196	2.3750911640516248e-4	0.09144100981598756	0	0	4.917629702483403	41.039117533132114	ZNF264;MAPK9;PTPRC;BTK;HCLS1;TACC1;LAX1;PTK2	8	Hub
LUAD	2	Transcription_Factor_PPIs	BCL11A	3/19	4.934363185070221e-4	0.14161622341151534	0	0	19.023462270133162	144.84686267463158	HDAC1;SUMO3;SIRT3	3	TF
LUAD	3	LINCS_L1000_Kinase_Perturbations_down	GPR153 knockdown 96h HEPG2	8/300	2.906998476203079e-5	0.1059310244728402	0	0	6.584362139917697	68.77895879885153	ACE2;STK11;TSG101;RPL27A;CCDC88C;NPM3;ULBP2;NADK	8	LINCS_down
LUAD	3	LINCS_L1000_Kinase_Perturbations_down	PRKD2 knockdown 96h HEPG2	7/300	2.1457054072154206e-4	0.19547376259732482	0	0	5.761316872427984	48.66510624477816	ACE2;STK11;SLC38A1;CCDC88C;WDR74;ULBP2;NADK	7	LINCS_down
LUAD	3	LINCS_L1000_Kinase_Perturbations_down	RARB knockdown 96h HEPG2	7/300	2.1457054072154206e-4	0.15637901007785987	0	0	5.761316872427984	48.66510624477816	ACE2;STK11;SLC38A1;TSG101;RPL27A;NPM3;NADK	7	LINCS_down
LUAD	3	LINCS_L1000_Kinase_Perturbations_down	TP53RK knockdown 96h HEPG2	7/300	2.1457054072154206e-4	0.1303158417315499	0	0	5.761316872427984	48.66510624477816	ACE2;STK11;SLC38A1;TSG101;CCDC88C;WDR74;NADK	7	LINCS_down
LUAD	4	GO_Biological_Process_2018	regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	5/22	4.901227996802169e-6	0.02501096646768147	0	0	19.26040061633282	235.47813506651107	HHEX;FLT1;TMEM204;PDCD6;EPN2	5	GO_BP
LUAD	4	Transcription_Factor_PPIs	DACH1	3/15	6.646107397307463e-4	0.1907432823027242	0	0	16.949152542372882	124.00523800818958	CREB1;NAGK;UBC	3	TF
PAAD	1	PPI_Hub_Proteins	RPL5	3/207	3.656372489362796e-4	0.14077034084046766	0	0	20.70393374741201	163.84821613199023	AMFR;FMR1;GPT2	3	Hub
PAAD	3	LINCS_L1000_Kinase_Perturbations_down	EPHB4 knockdown 96h A549	3/300	6.462644441599709e-5	0.11774938172594669	0	0	33.333333333333336	321.56289582181194	RPL4;GAD2;KLHL22	3	LINCS_down
PAAD	3	LINCS_L1000_Kinase_Perturbations_down	SCNN1A knockdown 96h HA1E	3/300	6.462644441599709e-5	0.0784995878172978	0	0	33.333333333333336	321.56289582181194	RPL4;KLHL22;CCT8	3	LINCS_down
PAAD	3	LINCS_L1000_Kinase_Perturbations_up	GRIN3A knockdown 96h HEPG2	3/300	6.462644441599709e-5	0.058874690862973346	0	0	33.333333333333336	321.56289582181194	FKBP1A;RPL4;CCT8	3	LINCS_up
PAAD	3	LINCS_L1000_Kinase_Perturbations_up	NR1H3 knockdown 96h A549	3/300	6.462644441599709e-5	0.11774938172594669	0	0	33.333333333333336	321.56289582181194	FKBP1A;GAD2;CCT8	3	LINCS_up
PAAD	3	LINCS_L1000_Kinase_Perturbations_up	TGFBR2 knockdown 96h MCF7	3/300	6.462644441599709e-5	0.0784995878172978	0	0	33.333333333333336	321.56289582181194	FKBP1A;RPL4;KLHL22	3	LINCS_up
PAAD	3	PPI_Hub_Proteins	GABARAPL1	3/499	2.919053526780707e-4	0.11238356078105721	0	0	20.04008016032064	163.1078345271168	RPL4;CCT8;HSPE1	3	Hub
PAAD	4	PPI_Hub_Proteins	ARRB2	3/323	0.001643938154009701	0.1582290473234337	0	0	12.383900928792569	79.38898578664123	PFKFB3;RPL7L1;AP1B1	3	Hub
PAAD	4	PPI_Hub_Proteins	CTNNB1	3/337	0.001856056496898699	0.11909695855099985	0	0	11.869436201780415	74.65045940584018	GNA13;JUN;MAPK8	3	Hub
PAAD	4	PPI_Hub_Proteins	IKBKG	3/332	0.0017784332200343708	0.13693935794264656	0	0	12.048192771084336	76.28942790069064	JUN;MAPK8;LUC7L2	3	Hub
PAAD	4	PPI_Hub_Proteins	PRKCE	3/193	3.6956013346945517e-4	0.14228065138574023	0	0	20.72538860103627	163.79683083946222	GNA13;MAPK8;AP1B1	3	Hub
PAAD	4	PPI_Hub_Proteins	SMAD2	3/370	0.0024220430154754035	0.1332123658511472	0	0	10.81081081081081	65.11506890483304	JUN;MAPK8;AP1B1	3	Hub
PAAD	4	Transcription_Factor_PPIs	CTNNB1	3/398	0.0029783968934816883	0.12211427263274922	0	0	10.050251256281406	58.455980687659576	GNA13;JUN;MAPK8	3	TF
PAAD	4	Transcription_Factor_PPIs	SMAD2	3/384	0.0026912459541985436	0.12873126480916366	0	0	10.416666666666666	61.643239714621615	JUN;MAPK8;AP1B1	3	TF
PAAD	4	Transcription_Factor_PPIs	STAT3	3/246	7.497278203549259e-4	0.07172396148062124	0	0	16.260162601626018	117.00488330884129	JUN;MAPK8;LUC7L2	3	TF
PAAD	5	PPI_Hub_Proteins	PRKCA	5/547	2.6898127652636713e-4	0.10355779146265134	0	0	8.309788931361144	68.31368443390481	SLC9A3R1;EGLN2;ARHGEF1;MYL9;PDLIM7	5	Hub
