cancer	allele	datasource	term	overlap	p_value	adjusted_p_value	old_adjusted_p_value	odds_ratio	combined_score	n_overlap	overlap_genes	term_genes	pretty_term
COAD	G13D	KEGG_2019_Human	mTOR signaling pathway___COAD	4/152	4.2083394059137904e-5	9.258346693010339e-4	0	20.242914979757085	203.9647233904563	4	NRAS,PIK3CA,RICTOR,BRAF	NRAS,PIK3CA,BRAF,RICTOR	mTOR signaling pathway
COAD	G13D	KEGG_2019_Human	Apoptosis___COAD	3/143	8.248533109793919e-4	0.008760511026953542	0	16.137708445400754	114.58265183935801	3	NRAS,PIK3CA,TP53	NRAS,PIK3CA,TP53	Apoptosis
COAD	G13D	KEGG_2019_Human	Cellular senescence___COAD	3/160	0.0011411814415245864	0.011716129466319088	0	14.423076923076923	97.72631539908758	3	NRAS,PIK3CA,TP53	NRAS,PIK3CA,TP53,ATM,TGFBR1,TGFBR2	Cellular senescence
COAD	G13D	Reactome_2016	Developmental biology___COAD	6/786	4.237668499078464e-4	0.040522705022437815	0	5.871990604815032	45.60379997807308	6	HELZ2,NRAS,KIF4B,BRAF,CTCF,ANK3	TRPC7,HELZ2,SCN10A,NRAS,DCC,LAMA1,KCNQ3,MYH9,CTNNB1,BRAF,L1CAM,KIF4B,CTCF,ANK3,EPHB6,ROBO3,NOTCH1,CHD9,NCAN,LAMC1,EGFR,CACNA1H,SALL1,CDH2,ABLIM3,HOXA1,NRCAM,SRGAP3,CACNA1S,SCN5A,EPHA5,MED1,NCOA2,EPHA6,EPHA8,FN1,PAX4,NRG1,UNC5D,NFASC,NCOR1,KLF5,AKAP9,NF1,CNTN1,COL6A6,EPHA2,SEMA5A,KMT2C,CACNA1C,KALRN,SPTB,CACNA1I,GRIN2A,DPYSL4,POLR2A,PTPRA,RPS6KA2,EPHA3,SCN1A	Developmental biology
LUAD	G12A	WikiPathways_2019_Human	RAC1/PAK1/p38/MMP2 Pathway___LUAD	3/68	3.3940031385696067e-4	0.04004923703512136	0	22.058823529411764	176.2131679505288	3	ANGPT1,TP53,EGFR	NRAS,PIK3CA,CTNNB1,TP53,ANGPT1,EGFR	RAC1/PAK1/p38/MMP2 Pathway
LUAD	G12C	GO_Biological_Process_2018	"Positive regulation of MAPK
cascade___LUAD"	18/289	3.842997831445656e-5	0.016342348278222653	0	2.9944104338568005	30.443190863411875	18	EPHB6,EPHA5,DDR1,TENM1,NTRK2,EPHA6,NOTCH1,FLT1,EPHA8,INSRR,ABCA7,BRAF,NOD2,EGFR,CALCR,TAOK3,ROS1,EPHA2	EPHB6,EPHA5,DDR1,TENM1,NTRK2,EPHA6,NOTCH1,FLT1,EPHA8,INSRR,ABCA7,BRAF,NOD2,EGFR,CALCR,TAOK3,ROS1,EPHA2	Positive regulation of MAPK cascade
LUAD	G12C	KEGG_2019_Human	PI3K-Akt signaling pathway___LUAD	17/354	0.0012766007721790305	0.043688115314571264	0	2.3087787918296394	15.384673031373048	17	MAGI1,NTRK2,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,STK11,RELN,TNN,TNR,COL6A6,TP53,TLR4,EPHA2	MAGI1,NRAS,PIK3CA,LAMA2,LAMA1,TP53,NTRK2,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,STK11,RELN,TNN,TNR,COL6A6,TLR4,EPHA2,ERBB4,ITGA8	PI3K-Akt signaling pathway
LUAD	G12C	Panther_2016	Wnt signaling pathway___LUAD	21/278	4.113433596637809e-7	4.607045628234346e-5	0	3.6317100166021032	53.40007409920869	21	PCDHGA8,TCF7L1,SRCAP,PCDHGA3,PCDH20,PCDH11X,PCDH8,PCDH15,ARID1A,CELSR2,SMARCA4,LRP6,MYH1,PCDHB2,CDH2,CDH10,MYH13,CTNNB1,TP53,MAP3K7,PCDHB8	PCDHGA7,APC,PCDH15,CTNNB1,ARID1A,TP53,MYH6,PCDHB7,TCF7L2,SMAD4,PCDHA2,PCDHGA8,TCF7L1,SRCAP,PCDHGA3,PCDH20,PCDH11X,PCDH8,CELSR2,SMARCA4,LRP6,MYH1,PCDHB2,CDH2,CDH10,MYH13,MAP3K7,PCDHB8,CDH20,FAT1,FAT2,PCDHB11,CDH18,PCDHA1,FAT3,DCHS1	Wnt signaling pathway
LUAD	G12C	PPI_Hub_Proteins	PPI of CTNNB1 (hub)___LUAD	20/337	2.881082422398264e-5	0.011092167326233316	0	2.8532298561972156	29.829831660358497	20	MAGI1,NCOA2,AHCTF1,TCF7L1,FLT1,CHD9,PTPRJ,MITF,LRP2,EGFR,SMARCA4,AR,KIAA1109,SALL1,CDH2,PTPRZ1,CDH10,XIRP1,CTNNB1,ATM	MAGI1,NCOA2,AHCTF1,TCF7L1,FLT1,CHD9,PTPRJ,MITF,LRP2,EGFR,SMARCA4,AR,KIAA1109,SALL1,CDH2,PTPRZ1,CDH10,XIRP1,CTNNB1,ATM,NOTCH1,ARHGAP32	CTNNB1
LUAD	G12C	PPI_Hub_Proteins	PPI of PRKACA (hub)___LUAD	21/440	3.896967491626242e-4	0.02500554140460172	0	2.2945804195804196	18.012781407188122	21	HCN4,RYR2,ARPP21,ITGA4,LUZP1,PDE4DIP,BRAF,ABCC9,EGFR,CACNA1H,ADD1,LRP6,RIMS1,STK11,AKAP9,PDE3A,FLNA,CTNNB1,KCNN2,TRPM8,TP53	HCN4,RYR2,ARPP21,ITGA4,BRAF,PPP1R3A,ABCC9,CACNA1H,ADD1,LRP6,RIMS1,STK11,NCOR1,TPR,AKAP9,PDE3A,FLNA,CTNNB1,KCNN2,TRPM8,CACNA1S,TP53,LUZP1,PDE4DIP,EGFR,RYR1,SYNE1,TTN,BCLAF1,CACNA1C,GLI3	PRKACA
LUAD	G12C	Transcription_Factor_PPIs	PPI of MYC (TF)___LUAD	35/957	9.070047101111189e-4	0.023664577436535553	0	1.7582991720922756	12.317523813292333	35	GTF3C1,NUP205,LUZP1,NUP188,FRMPD4,CHD5,AKAP6,SMC4,RIMS2,FBL,CSPP1,FLNA,TNR,MAP3K7,RBM10,EXPH5,MAGI1,MED1,PDHA2,FANCM,CNTN5,CPSF1,AHNAK2,FN1,SMARCA4,ASXL1,NCOR1,KLF5,STAG2,NAV3,CTNNB1,ATM,WDFY3,TP53,NFE2L2	GTF3C1,NUP205,LUZP1,NUP188,FRMPD4,CHD5,AKAP6,SMC4,RIMS2,FBL,CSPP1,FLNA,TNR,MAP3K7,RBM10,EXPH5,MAGI1,MED1,PDHA2,FANCM,CNTN5,CPSF1,AHNAK2,FN1,SMARCA4,ASXL1,NCOR1,KLF5,STAG2,NAV3,CTNNB1,ATM,WDFY3,TP53,NFE2L2,ZCCHC11,OBSCN,CDKN2A,TTN	MYC
LUAD	G12C	WikiPathways_2019_Human	Focal adhesion___LUAD	15/198	1.802367821875121e-5	0.004253588059625286	0	3.6421911421911424	39.786655768960635	15	BLK,TNXB,FLT1,ITGA4,HGF,FN1,BRAF,LAMC1,EGFR,RELN,TNN,COL5A2,FLNA,CTNNB1,TNR	PIK3CA,LAMA2,LAMA1,CTNNB1,BRAF,ARHGAP5,VAV1,BLK,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,RELN,TNN,COL5A2,FLNA,TNR,ITGA8	Focal adhesion
LUAD	G12D	KEGG_2019_Human	PI3K-Akt signaling pathway___LUAD	7/354	3.0676845296342866e-4	0.011810585439092004	0	5.417537342310967	43.82472040767592	7	LAMA2,TNN,ERBB4,ITGA8,TNR,TP53,EGFR	MAGI1,NRAS,PIK3CA,LAMA2,LAMA1,TP53,NTRK2,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,STK11,RELN,TNN,TNR,COL6A6,TLR4,EPHA2,ERBB4,ITGA8	PI3K-Akt signaling pathway
LUAD	G12D	KEGG_2019_Human	Apelin signaling pathway___LUAD	4/137	0.0015909105975328872	0.04454549673092084	0	7.999200079992001	51.54243554709181	4	RYR1,RYR2,RYR3,SLC8A1	RYR1,NRAS,SMAD4,RYR2,RYR3,SLC8A1,SLC8A3,ADCY8,TGFBR1	Apelin signaling pathway
LUAD	G12D	WikiPathways_2019_Human	Focal adhesion___LUAD	6/198	8.561147615331676e-5	0.020204308372182754	0	8.302200083022	77.75584239594137	6	LAMA2,TNN,COL5A2,ITGA8,TNR,EGFR	PIK3CA,LAMA2,LAMA1,CTNNB1,BRAF,ARHGAP5,VAV1,BLK,TNXB,FLT1,ITGA4,HGF,FN1,LAMC1,EGFR,RELN,TNN,COL5A2,FLNA,TNR,ITGA8	Focal adhesion
LUAD	G12D	WikiPathways_2019_Human	"Pathways regulating hippo
signaling___LUAD"	4/98	4.5534482802150124e-4	0.0358204598043581	0	11.182555213866367	86.04367416565331	4	CDH10,CDH12,GNAS,EGFR	CDH10,CDH12,GNAS,EGFR	Pathways regulating hippo signaling
LUAD	G12V	BioCarta_2016	"Chromatin remodeling by hSWI/
SNF ATP-dependent complexes___LUAD"	3/16	1.7584828486529795e-4	0.04167604351307561	0	26.785714285714285	231.5863112273554	3	POLR2A,NF1,SMARCA4	POLR2A,NF1,SMARCA4	Chromatin remodeling by hSWI/SNF ATP-dependent complexes
LUAD	G12V	Panther_2016	Wnt signaling pathway___LUAD	8/278	7.741731971609941e-4	0.04335369904101567	0	4.110996916752312	29.450010032745034	8	CDH2,CDH20,FAT1,FAT2,PCDHB11,TP53,CDH18,SMARCA4	PCDHGA7,APC,PCDH15,CTNNB1,ARID1A,TP53,MYH6,PCDHB7,TCF7L2,SMAD4,PCDHA2,PCDHGA8,TCF7L1,SRCAP,PCDHGA3,PCDH20,PCDH11X,PCDH8,CELSR2,SMARCA4,LRP6,MYH1,PCDHB2,CDH2,CDH10,MYH13,MAP3K7,PCDHB8,CDH20,FAT1,FAT2,PCDHB11,CDH18,PCDHA1,FAT3,DCHS1	Wnt signaling pathway
LUAD	G12V	PPI_Hub_Proteins	PPI of PRKCA (hub)___LUAD	15/547	6.983727729842869e-6	0.0026887351759895045	0	3.9174719247845387	46.50794355588346	15	SEMA5A,DSP,PRPF4B,BRAF,ADCY2,CACNA1C,ACACA,EGFR,TTN,GRIN2A,PTPRA,RPS6KA2,NF1,TP53,GRIA4	SEMA5A,DSP,PRPF4B,BRAF,ADCY2,CACNA1C,ACACA,EGFR,TTN,GRIN2A,PTPRA,RPS6KA2,NF1,TP53,GRIA4	PRKCA
PAAD	G12D	KEA_2015	Targets of PRKACA (kinase)___PAAD	6/393	1.0443987782101928e-4	0.04470026770739625	0	7.829320806420043	71.77059294564543	6	RYR1,RYR2,ABCC9,TP53,SYNE1,TTN	HCN4,RYR2,ARPP21,ITGA4,BRAF,PPP1R3A,ABCC9,CACNA1H,ADD1,LRP6,RIMS1,STK11,NCOR1,TPR,AKAP9,PDE3A,FLNA,CTNNB1,KCNN2,TRPM8,CACNA1S,TP53,LUZP1,PDE4DIP,EGFR,RYR1,SYNE1,TTN,BCLAF1,CACNA1C,GLI3	PRKACA
PAAD	G12D	Panther_2016	Wnt signaling pathway___PAAD	5/278	1.9573374982588936e-4	0.0073073933268332026	0	9.223390518354547	78.75627413279172	5	SMAD4,PCDHA1,FAT3,ARID1A,TP53	PCDHGA7,APC,PCDH15,CTNNB1,ARID1A,TP53,MYH6,PCDHB7,TCF7L2,SMAD4,PCDHA2,PCDHGA8,TCF7L1,SRCAP,PCDHGA3,PCDH20,PCDH11X,PCDH8,CELSR2,SMARCA4,LRP6,MYH1,PCDHB2,CDH2,CDH10,MYH13,MAP3K7,PCDHB8,CDH20,FAT1,FAT2,PCDHB11,CDH18,PCDHA1,FAT3,DCHS1	Wnt signaling pathway
PAAD	G12D	Transcription_Factor_PPIs	PPI of SMAD2 (TF)___PAAD	6/384	9.19739186978985e-5	0.026396514666296868	0	8.012820512820513	74.47119802500761	6	SMAD4,GNAS,ACVR1B,ARID1A,TP53,TGFBR2	TGIF1,DYNC1H1,UBR5,CTNNB1,ARID1A,TP53,MLLT4,GLI3,SMAD4,GNAS,ACVR1B,TGFBR2,COL5A1,TGFBR1	SMAD2
PAAD	G12D	WikiPathways_2019_Human	TGF-β signaling pathway___PAAD	4/132	1.2465368493595397e-4	0.029418269644885135	0	15.540015540015542	139.70429193736905	4	MAP2K4,SMAD4,TP53,TGFBR2	MAP2K4,SMAD4,TP53,TGFBR2,TGFBR1	TGF-β signaling pathway
PAAD	G12R	Panther_2016	Wnt signaling pathway___PAAD	5/278	5.257744302604411e-4	0.029443368094584702	0	7.49400479616307	56.58451946203312	5	PCDH15,FAT2,DCHS1,FAT3,SMARCA4	PCDHGA7,APC,PCDH15,CTNNB1,ARID1A,TP53,MYH6,PCDHB7,TCF7L2,SMAD4,PCDHA2,PCDHGA8,TCF7L1,SRCAP,PCDHGA3,PCDH20,PCDH11X,PCDH8,CELSR2,SMARCA4,LRP6,MYH1,PCDHB2,CDH2,CDH10,MYH13,MAP3K7,PCDHB8,CDH20,FAT1,FAT2,PCDHB11,CDH18,PCDHA1,FAT3,DCHS1	Wnt signaling pathway
PAAD	G12R	Transcription_Factor_PPIs	PPI of SMAD3 (TF)___PAAD	6/375	2.6347859511194837e-4	0.018904589199282295	0	6.666666666666667	54.943589508361114	6	SETD2,COL5A1,FLNA,BRCA2,APOB,SMARCA4	SMAD4,ACVR1B,ARID1A,TP53,TGFBR2,SETD2,COL5A1,FLNA,BRCA2,APOB,SMARCA4,GLI3,TGFBR1	SMAD3
PAAD	G12R	Transcription_Factor_PPIs	PPI of MYC (TF)___PAAD	9/957	3.9401633481319596e-4	0.02261653761827745	0	3.9184952978056433	30.717547768844035	9	RIMS2,ZCCHC11,OBSCN,CDKN2A,FLNA,ATM,RBM10,TTN,SMARCA4	GTF3C1,NUP205,LUZP1,NUP188,FRMPD4,CHD5,AKAP6,SMC4,RIMS2,FBL,CSPP1,FLNA,TNR,MAP3K7,RBM10,EXPH5,MAGI1,MED1,PDHA2,FANCM,CNTN5,CPSF1,AHNAK2,FN1,SMARCA4,ASXL1,NCOR1,KLF5,STAG2,NAV3,CTNNB1,ATM,WDFY3,TP53,NFE2L2,ZCCHC11,OBSCN,CDKN2A,TTN	MYC
PAAD	G12V	GO_Biological_Process_2018	calcium ion transport___PAAD	7/118	2.7348311503067534e-9	1.3955843360015363e-5	0	30.42155584528466	599.8277834736369	7	RYR1,CHRNB2,SLC8A3,RYR2,CACNA1C,CACNA1H,RYR3	RYR1,CHRNB2,SLC8A3,RYR2,CACNA1C,CACNA1H,RYR3	calcium ion transport
PAAD	G12V	KEA_2015	Targets of PRKACA (kinase)___PAAD	6/393	1.0443987782101928e-4	0.04470026770739625	0	7.829320806420043	71.77059294564543	6	RYR1,RYR2,CACNA1C,TP53,CACNA1H,GLI3	HCN4,RYR2,ARPP21,ITGA4,BRAF,PPP1R3A,ABCC9,CACNA1H,ADD1,LRP6,RIMS1,STK11,NCOR1,TPR,AKAP9,PDE3A,FLNA,CTNNB1,KCNN2,TRPM8,CACNA1S,TP53,LUZP1,PDE4DIP,EGFR,RYR1,SYNE1,TTN,BCLAF1,CACNA1C,GLI3	PRKACA
PAAD	G12V	Transcription_Factor_PPIs	PPI of SMAD2 (TF)___PAAD	6/384	9.19739186978985e-5	0.026396514666296868	0	8.012820512820513	74.47119802500761	6	DYNC1H1,COL5A1,GNAS,ACVR1B,TP53,GLI3	TGIF1,DYNC1H1,UBR5,CTNNB1,ARID1A,TP53,MLLT4,GLI3,SMAD4,GNAS,ACVR1B,TGFBR2,COL5A1,TGFBR1	SMAD2
PAAD	Q61H	Transcription_Factor_PPIs	PPI of SMAD3 (TF)___PAAD	8/375	1.1989051416039449e-5	0.0034408577564033218	0	7.35632183908046	83.35828381901081	8	SETD2,SMAD4,ARID1A,ACVR1B,TP53,GLI3,TGFBR1,TGFBR2	SMAD4,ACVR1B,ARID1A,TP53,TGFBR2,SETD2,COL5A1,FLNA,BRCA2,APOB,SMARCA4,GLI3,TGFBR1	SMAD3
PAAD	Q61H	Transcription_Factor_PPIs	PPI of SMAD2 (TF)___PAAD	8/384	1.4230142803219532e-5	0.0020420254922620027	0	7.183908045977011	80.17347780567229	8	SMAD4,GNAS,ARID1A,ACVR1B,TP53,GLI3,TGFBR1,TGFBR2	TGIF1,DYNC1H1,UBR5,CTNNB1,ARID1A,TP53,MLLT4,GLI3,SMAD4,GNAS,ACVR1B,TGFBR2,COL5A1,TGFBR1	SMAD2
PAAD	Q61H	Transcription_Factor_PPIs	PPI of SMAD1 (TF)___PAAD	5/192	2.3475702312908463e-4	0.022458421879349096	0	8.979885057471265	75.04453594504879	5	SMAD4,ARID1A,TP53,GLI3,TGFBR1	SMAD4,ARID1A,TP53,GLI3,TGFBR1	SMAD1
PAAD	Q61H	WikiPathways_2019_Human	TGF-β signaling pathway___PAAD	4/132	5.83687961122795e-4	0.022958393137496605	0	10.449320794148381	77.80714766016806	4	SMAD4,TP53,TGFBR1,TGFBR2	MAP2K4,SMAD4,TP53,TGFBR2,TGFBR1	TGF-β signaling pathway
