cancer	hugo_symbol	gene_cls	g12v_ach_000022	g12d_ach_000042	g12d_ach_000060	g12r_ach_000118	g12v_ach_000138	g12d_ach_000164	g12d_ach_000222	g12d_ach_000235	g12v_ach_000243	g12d_ach_000265	g12v_ach_000266	g12r_ach_000281	g12d_ach_000307	g12r_ach_000320	g12v_ach_000332	g12d_ach_000468	g12r_ach_000502	g12d_ach_000517	g12d_ach_000652	g12v_ach_001353	g12v_ach_001379	g12d_ach_001382	g12v_ach_001999
PAAD	HSPE1	1	-2.360	-2.163	-2.104	-1.895	-2.077	-2.174	-2.138	-2.082	-1.813	-2.180	-1.979	-1.808	-2.359	-1.858	-2.105	-2.337	-1.816	-2.140	-2.072	-2.117	-2.062	-2.354	-2.227
PAAD	KHDRBS1	1	-0.287	-0.317	-0.584	-0.162	-0.450	-0.315	-0.409	-0.318	-0.198	-0.230	-0.236	-0.138	-0.244	0.115	-0.494	0.045	-0.046	-0.373	-0.556	-0.389	-0.400	-0.341	-0.679
PAAD	KLHL21	1	0.007	-0.003	0.067	0.159	0.118	-0.019	-0.064	-0.007	0.169	0.159	-0.071	0.117	-0.039	0.343	0.059	0.029	0.035	-0.011	-0.105	0.075	0.123	-0.173	0.071
PAAD	MAPKBP1	1	0.000	0.034	0.037	0.068	-0.134	0.056	-0.134	-0.059	-0.150	-0.077	-0.104	0.020	-0.144	0.125	-0.036	-0.163	0.082	-0.162	-0.123	-0.053	0.049	-0.220	-0.058
PAAD	MTHFS	1	-0.054	0.003	-0.082	0.130	0.033	0.015	-0.091	-0.091	0.045	-0.049	-0.068	0.080	-0.119	0.163	-0.054	0.043	-0.061	-0.129	-0.042	0.061	0.007	-0.200	0.006
PAAD	NDRG3	1	0.127	0.028	0.041	0.213	0.181	0.054	0.168	0.086	0.153	-0.036	0.151	0.267	0.082	0.525	0.177	0.090	0.044	0.105	0.151	0.128	0.145	0.045	0.181
PAAD	OSBPL3	1	-0.094	0.005	-0.055	0.106	0.142	0.090	0.053	-0.062	0.078	-0.042	0.045	0.164	0.016	0.223	0.140	-0.046	0.079	-0.052	0.017	NA	0.279	-0.158	-0.022
PAAD	PDLIM7	1	-0.251	-0.009	-0.176	0.182	-0.195	-0.081	0.000	0.015	-0.036	0.110	-0.051	0.060	0.028	0.401	-0.148	-0.055	0.147	-0.162	-0.033	-0.296	-0.103	-0.401	-0.126
PAAD	PER2	1	-0.457	-0.362	-0.400	-0.107	-0.261	-0.255	-0.007	-0.215	-0.185	-0.230	-0.235	-0.071	-0.312	0.036	-0.281	-0.276	-0.140	-0.291	-0.338	-0.253	-0.297	-0.045	-0.275
PAAD	PPM1A	1	0.010	0.294	0.274	-0.036	-0.161	0.089	0.035	0.066	0.010	0.035	0.094	0.235	0.049	0.456	0.030	0.191	0.259	0.188	0.212	-0.167	-0.113	0.395	0.040
PAAD	RIMKLA	1	-0.087	-0.023	-0.305	-0.110	0.029	-0.270	-0.008	-0.086	0.027	-0.195	0.050	0.225	-0.168	0.159	-0.063	-0.093	0.004	-0.172	-0.259	-0.295	-0.099	-0.415	0.044
PAAD	RPL32	1	-1.222	-1.632	-1.484	-1.414	-1.584	-1.435	-1.684	-1.526	-1.400	-1.479	-1.520	-1.223	-1.593	-1.498	-1.502	-1.595	-1.383	-1.677	-1.662	-1.378	-1.400	-1.678	-1.621
PAAD	RPL4	1	-1.852	-1.832	-1.975	-1.739	-1.897	-1.842	-1.997	-1.966	-1.851	-1.767	-1.787	-1.384	-1.780	-1.427	-1.844	-2.272	-1.684	-1.939	-1.859	-1.596	-1.944	-2.217	-1.717
PAAD	RTL10	1	-0.200	-0.061	-0.186	-0.051	0.046	-0.211	-0.043	-0.107	0.046	-0.129	-0.071	0.013	-0.242	0.086	0.004	-0.124	-0.042	-0.178	-0.344	-0.143	-0.121	-0.204	-0.062
PAAD	SPATS2L	1	0.129	0.035	-0.059	0.138	0.114	-0.028	-0.141	0.051	-0.109	0.019	-0.066	0.360	0.093	0.301	0.013	0.140	0.169	-0.064	0.064	-0.031	-0.054	-0.359	0.040
PAAD	SPC24	1	-2.119	-1.866	-1.926	-1.555	-1.999	-1.809	-1.965	-1.829	-1.771	-1.753	-1.700	-1.676	-1.765	-1.435	-1.547	-1.942	-1.635	-1.768	-1.760	-1.925	-1.903	-1.891	-1.882
PAAD	SUCLG2	1	-0.021	-0.053	-0.066	0.073	0.084	-0.069	0.139	-0.036	0.047	-0.039	0.009	-0.016	-0.165	0.213	0.033	-0.004	0.068	-0.117	-0.111	0.030	-0.003	-0.262	0.137
PAAD	SUSD5	1	-0.051	-0.004	-0.053	0.193	0.092	-0.114	0.211	-0.016	0.118	0.081	-0.025	0.126	0.012	0.274	0.143	-0.046	0.114	-0.094	-0.111	0.094	0.028	-0.218	-0.003
PAAD	SYNJ1	1	0.142	0.133	0.155	0.270	0.190	0.078	0.259	0.156	0.241	NA	0.130	0.336	0.115	0.388	0.146	0.211	0.204	0.066	0.025	-0.046	0.204	0.170	-0.002
PAAD	TDRD5	1	-0.237	-0.060	-0.103	-0.009	-0.267	0.006	-0.060	-0.151	-0.120	0.004	-0.071	-0.101	-0.114	0.237	-0.082	-0.072	-0.061	-0.144	-0.137	-0.115	-0.200	-0.105	-0.354
PAAD	TEX264	1	-0.027	0.006	-0.045	0.069	-0.013	0.067	-0.219	-0.007	0.042	0.091	0.062	0.228	0.020	0.301	0.088	-0.038	0.025	0.003	-0.212	0.125	0.078	-0.022	0.009
PAAD	TMC4	1	-0.016	-0.112	-0.239	-0.032	-0.144	-0.266	-0.249	-0.247	-0.152	-0.004	-0.055	-0.005	-0.253	0.041	-0.045	0.025	-0.028	-0.213	-0.168	-0.006	-0.161	-0.184	0.049
PAAD	TUBG2	1	-0.223	-0.271	-0.315	-0.279	-0.497	-0.287	-0.219	-0.307	-0.376	-0.338	-0.289	-0.197	-0.079	-0.148	-0.341	-0.388	-0.161	-0.277	-0.383	-0.450	-0.399	-0.279	-0.417
PAAD	VKORC1	1	0.118	0.081	-0.029	-0.002	0.076	0.015	-0.173	0.043	-0.031	-0.043	-0.041	0.273	-0.035	0.176	0.024	-0.093	0.115	-0.116	-0.048	-0.020	-0.036	-0.058	0.005
PAAD	VWA5B2	1	0.032	0.010	-0.202	-0.021	-0.095	-0.124	-0.182	-0.106	-0.052	-0.037	-0.035	0.117	-0.008	0.070	-0.108	0.007	0.054	-0.082	-0.112	-0.127	-0.096	-0.281	-0.139
PAAD	ZBTB1	1	-0.113	0.161	-0.080	0.139	-0.001	-0.131	-0.079	0.069	0.106	0.153	-0.073	0.320	0.034	0.252	-0.115	0.184	0.054	0.083	0.065	-0.161	0.055	-0.042	-0.393
PAAD	ZNF222	1	-0.079	-0.105	0.018	0.067	-0.225	-0.124	-0.276	-0.133	-0.142	-0.122	-0.155	0.169	0.135	0.091	-0.175	-0.116	-0.076	-0.264	-0.223	-0.166	-0.238	-0.313	-0.128
PAAD	ZNF7	1	0.151	0.101	-0.070	0.213	0.180	0.129	-0.013	0.100	0.171	0.171	0.206	0.208	0.192	0.333	0.177	0.086	0.262	0.003	0.097	0.028	0.144	0.087	0.180
PAAD	ZNF701	1	-0.258	-0.112	-0.191	-0.105	-0.218	-0.056	-0.099	-0.164	-0.206	-0.178	-0.265	-0.035	-0.179	-0.076	-0.221	-0.264	-0.125	-0.195	-0.295	-0.238	-0.194	-0.098	-0.310
PAAD	ZZEF1	1	-0.163	-0.176	-0.315	0.034	-0.097	-0.280	-0.021	-0.088	-0.078	-0.116	-0.165	0.186	0.021	0.240	-0.188	0.044	0.077	-0.230	NA	-0.157	-0.338	-0.414	-0.403
PAAD	ACOT11	2	0.129	-0.097	-0.228	0.065	0.080	-0.087	-0.102	-0.065	-0.029	0.002	0.167	0.227	0.015	-0.159	0.086	-0.183	0.016	-0.018	-0.010	0.027	-0.009	-0.138	0.164
PAAD	ACTR1A	2	-1.196	-0.904	-1.405	-0.719	-0.789	-1.647	-0.926	-0.999	-0.447	-1.222	-0.696	-0.782	-1.076	-1.069	-0.634	-1.596	-1.238	-1.473	-0.872	-0.770	-0.652	-1.348	-0.798
PAAD	AKR7L	2	-0.136	-0.188	-0.258	-0.048	-0.086	-0.237	-0.160	-0.231	-0.144	-0.251	-0.103	-0.105	-0.117	-0.156	-0.102	-0.253	-0.023	-0.260	-0.266	-0.148	-0.115	-0.475	-0.055
PAAD	BFSP1	2	0.146	-0.144	-0.123	-0.216	0.001	0.050	0.018	-0.052	-0.128	-0.092	-0.002	-0.282	0.031	-0.160	-0.037	0.175	-0.202	-0.032	-0.203	0.077	0.135	0.059	0.026
PAAD	CFAP97	2	0.201	0.048	-0.060	-0.036	0.074	0.221	0.013	0.102	NA	0.151	0.047	-0.044	0.116	-0.094	0.064	-0.035	0.010	0.036	-0.001	0.307	0.264	0.027	0.083
PAAD	CHST13	2	0.028	0.023	-0.292	0.089	0.009	-0.037	-0.014	0.023	0.044	0.042	0.131	0.321	-0.020	0.214	0.154	0.059	-0.059	-0.015	-0.138	0.093	0.209	0.001	0.307
PAAD	CWF19L2	2	-0.757	-0.883	-0.687	-1.099	-0.696	-0.474	-0.729	-0.586	-0.703	-0.831	-0.639	-0.962	-0.744	-0.906	-0.661	-0.557	-1.025	-0.887	-0.910	-0.675	-0.582	-0.744	-0.644
PAAD	DCPS	2	-0.168	-0.435	-0.626	-0.561	-0.702	-0.369	-0.684	-0.432	-0.645	-0.677	-0.356	-0.910	-0.720	-0.855	-0.304	-0.687	-0.678	-0.278	-0.575	-0.267	-0.248	-0.513	-0.460
PAAD	DCSTAMP	2	0.176	-0.077	-0.019	-0.102	0.145	0.079	0.211	0.072	0.084	0.115	0.112	-0.241	0.080	-0.001	0.122	0.020	0.131	0.166	-0.056	0.147	0.266	0.058	0.208
PAAD	DDX43	2	-0.039	-0.125	-0.062	-0.185	-0.042	-0.048	-0.037	-0.078	-0.099	-0.108	-0.049	-0.336	-0.184	-0.152	0.053	-0.294	-0.171	-0.041	-0.214	0.080	-0.011	-0.096	-0.034
PAAD	DHX35	2	0.014	-0.105	-0.318	-0.670	-0.271	0.036	-0.206	-0.154	-0.358	-0.217	-0.067	-0.594	-0.072	-0.557	-0.142	-0.367	-0.367	-0.083	-0.542	-0.463	-0.249	0.089	-0.330
PAAD	EGLN2	2	-0.530	-0.481	-0.491	-0.298	-0.509	-0.536	-0.534	-0.520	-0.422	-0.548	-0.512	-0.355	-0.481	-0.355	-0.643	-0.519	-0.188	-0.544	-0.432	-0.484	-0.453	-1.038	-0.544
PAAD	FAM19A1	2	0.128	0.102	0.013	0.004	0.157	-0.033	-0.044	0.082	0.140	0.033	0.068	0.315	0.021	0.392	0.114	0.033	0.109	0.093	-0.046	0.127	0.094	-0.395	0.217
PAAD	FKBP1A	2	-0.073	-0.071	-0.198	0.062	0.109	-0.409	-0.532	-0.073	0.019	-0.031	0.020	0.121	-0.066	0.096	0.001	-0.110	0.087	-0.069	-0.085	-0.040	0.065	0.016	-0.060
PAAD	FNBP1	2	-0.112	-0.332	-0.193	-0.160	-0.196	-0.206	-0.361	-0.163	-0.142	-0.185	-0.145	-0.249	-0.206	-0.294	-0.135	-0.185	-0.127	-0.305	-0.271	-0.067	-0.054	-0.085	-0.028
PAAD	FRA10AC1	2	0.041	-0.119	0.005	-0.465	-0.013	0.109	-0.090	-0.082	0.046	-0.150	-0.025	-0.512	0.054	-0.178	-0.090	-0.131	-0.196	-0.018	0.039	0.183	0.125	-0.077	0.216
PAAD	FSTL5	2	0.227	0.190	0.080	0.288	0.309	0.168	0.110	0.219	NA	0.238	0.235	0.319	0.041	0.182	0.269	0.154	0.290	0.179	0.245	0.256	0.197	0.179	0.426
PAAD	GBP2	2	0.007	-0.065	-0.295	-0.095	0.052	-0.162	-0.105	-0.064	-0.129	-0.107	-0.059	0.073	-0.158	-0.180	-0.163	-0.123	-0.021	-0.169	-0.090	0.120	0.081	-0.204	0.127
PAAD	HOXD9	2	-0.049	-0.221	-0.346	-0.160	0.025	-0.150	-0.181	-0.206	-0.102	-0.114	-0.179	-0.216	-0.197	-0.207	-0.164	-0.139	-0.245	-0.130	-0.232	-0.017	-0.158	-0.162	0.004
PAAD	JUN	2	0.166	-0.167	-0.402	-0.141	0.086	-0.079	0.066	-0.248	0.071	-0.562	-0.196	-0.341	-0.226	-0.336	0.314	-0.265	-0.234	-0.464	-0.399	-0.092	-0.120	-0.396	-0.260
PAAD	KBTBD7	2	-0.090	0.027	-0.064	0.086	0.078	0.034	-0.040	0.025	0.080	0.061	-0.002	0.280	0.109	0.198	0.112	-0.119	0.097	-0.009	-0.070	-0.065	0.017	-0.305	0.114
PAAD	KIFC1	2	0.019	-0.202	-0.409	-0.176	-0.120	-0.229	-0.247	-0.089	-0.111	-0.084	-0.187	-0.379	-0.140	-0.413	-0.109	-0.113	-0.540	-0.261	-0.508	-0.110	-0.031	-0.549	-0.043
PAAD	KL	2	0.228	0.073	-0.086	0.088	0.152	0.057	0.117	0.198	0.270	0.038	0.170	0.228	0.009	0.203	0.208	0.169	0.085	0.096	0.087	0.080	0.322	0.066	0.284
PAAD	LACTB	2	-0.173	-0.075	-0.186	0.014	0.068	-0.163	-0.097	-0.161	-0.060	-0.327	-0.172	0.139	-0.225	-0.005	-0.109	-0.264	-0.060	-0.136	-0.217	-0.120	-0.169	-0.587	-0.076
PAAD	MAPK8	2	0.400	0.175	0.228	0.257	0.427	0.320	0.373	0.273	0.309	0.230	0.333	0.313	0.239	0.414	0.500	0.224	0.339	0.206	0.276	0.428	0.301	0.328	0.326
PAAD	MEPCE	2	-0.794	-0.907	-0.948	-0.942	-0.576	-0.853	-0.918	-0.794	-0.583	-0.806	-0.434	-0.884	-0.819	-0.744	-0.654	-0.987	-0.741	-0.919	-0.936	-0.909	-0.832	-0.775	-0.679
PAAD	MRPS25	2	-0.547	-0.474	-0.559	-0.750	-0.582	-0.550	-0.911	-0.508	-0.412	-0.893	-0.360	-0.592	-0.603	-0.905	-0.167	-0.787	-0.562	-0.441	-0.592	-0.119	-0.587	-0.918	-0.402
PAAD	PHACTR4	2	0.023	-0.259	-0.341	-0.355	-0.160	-0.208	-0.314	-0.179	-0.012	-0.402	-0.104	-0.409	-0.204	-0.272	-0.217	-0.497	-0.237	-0.281	-0.361	-0.205	-0.381	-0.186	0.007
PAAD	PNPLA8	2	-0.047	-0.128	-0.139	-0.227	-0.149	-0.054	-0.244	-0.126	-0.126	-0.026	-0.096	-0.192	-0.005	-0.222	-0.073	-0.048	-0.198	-0.012	-0.138	-0.072	0.081	-0.187	0.091
PAAD	PPA1	2	-0.909	-1.241	-1.082	-1.212	-1.139	-1.211	-1.066	-1.028	-1.139	-1.047	-0.884	-1.423	-1.167	-1.378	-0.781	-1.491	-1.230	-1.135	-1.213	-1.075	-1.112	-1.044	-1.172
PAAD	PROK2	2	-0.089	0.018	-0.267	-0.045	-0.006	-0.140	-0.082	-0.062	0.075	-0.080	0.017	0.058	-0.097	0.007	-0.014	-0.184	-0.051	-0.119	-0.227	-0.076	-0.029	-0.360	0.010
PAAD	RFLNA	2	-0.087	-0.250	-0.122	-0.324	-0.024	-0.074	-0.246	-0.140	0.024	-0.160	-0.157	-0.353	-0.047	-0.120	-0.065	-0.206	-0.240	-0.165	-0.332	-0.025	-0.090	-0.165	-0.189
PAAD	SLC6A9	2	-0.100	-0.053	-0.215	-0.094	0.127	-0.173	-0.067	-0.197	-0.060	-0.101	-0.026	-0.114	-0.246	-0.145	-0.050	-0.286	-0.042	-0.189	-0.188	-0.209	0.057	-0.179	-0.049
PAAD	STXBP5L	2	0.013	-0.093	-0.291	-0.189	-0.012	-0.189	-0.177	-0.161	-0.048	-0.180	-0.130	0.017	-0.026	-0.126	-0.113	-0.141	0.004	-0.081	-0.091	-0.038	0.076	-0.188	0.045
PAAD	SUCLA2	2	-0.077	-0.345	-0.276	-0.220	-0.164	-0.160	-0.275	-0.318	-0.134	-0.260	-0.186	-0.169	-0.259	-0.387	-0.159	-0.283	-0.136	-0.233	-0.338	-0.069	-0.135	-0.363	-0.163
PAAD	SYTL1	2	0.079	-0.029	-0.061	0.108	-0.107	-0.045	0.048	-0.148	0.058	0.037	-0.044	0.181	-0.069	0.156	-0.065	0.067	0.134	-0.039	-0.141	0.026	0.011	-0.462	0.063
PAAD	TDRD3	2	-0.050	-0.104	-0.061	-0.018	-0.017	-0.016	-0.200	0.006	0.095	-0.143	-0.007	-0.001	-0.049	-0.082	0.026	-0.117	0.013	-0.081	-0.099	-0.024	0.024	-0.187	-0.056
PAAD	TMED6	2	0.070	-0.119	-0.028	-0.132	0.015	-0.053	-0.230	-0.103	-0.049	-0.026	0.031	-0.366	0.005	-0.302	-0.015	-0.088	-0.104	-0.074	-0.081	-0.082	0.043	-0.421	0.072
PAAD	TMX2	2	-0.087	-0.859	-0.640	-0.916	-0.545	-0.492	-0.843	-0.725	-0.636	-0.725	-0.299	-0.732	-0.969	-1.124	-0.738	-0.815	-0.675	-0.934	-0.999	-0.203	-0.531	-0.258	-0.409
PAAD	TSPEAR	2	0.047	0.034	-0.150	0.213	0.184	-0.055	0.078	0.091	0.067	0.026	0.080	0.104	0.008	0.148	0.012	0.031	0.094	0.056	-0.023	0.115	0.084	0.020	0.211
PAAD	TWNK	2	-0.781	-0.409	-0.326	-0.946	-0.482	-0.542	-0.487	-0.372	-0.397	-0.893	-0.311	-0.709	-0.415	-0.842	-0.159	-0.765	-0.578	-0.343	-0.518	-0.112	-0.232	-0.570	-0.423
PAAD	U2AF1	2	-1.247	-1.256	-1.389	-1.091	-1.031	-1.443	-1.023	-1.297	-0.949	-1.149	-1.156	-1.140	-1.315	-1.125	-1.033	-1.378	-1.092	-1.324	-1.409	-1.158	-1.180	-1.266	-1.258
PAAD	WT1	2	0.118	0.010	0.063	-0.029	0.219	0.188	-0.098	0.035	0.096	-0.104	0.169	-0.081	0.092	-0.014	0.168	0.226	0.094	0.164	-0.108	0.189	0.220	-0.212	0.287
PAAD	ABCB9	3	-0.057	-0.102	-0.084	-0.299	-0.082	-0.110	-0.064	-0.120	-0.178	-0.056	-0.166	-0.212	-0.085	-0.262	-0.158	-0.198	-0.147	-0.129	-0.071	-0.014	-0.191	0.084	-0.202
PAAD	ABI1	3	-0.019	-0.254	-0.213	-0.193	-0.253	0.070	-0.094	-0.120	-0.532	-0.079	-0.371	-0.514	-0.069	-0.206	-0.202	-0.117	-0.413	0.080	-0.071	-0.559	-0.511	-0.057	-0.408
PAAD	ARL4D	3	-0.559	-0.576	-0.555	-0.503	-0.684	-0.575	-0.647	-0.600	-0.700	-0.644	-0.535	-0.508	-0.488	-0.513	-0.648	-0.699	-0.444	-0.564	-0.553	-0.560	-0.754	-0.582	-0.851
PAAD	ARV1	3	-0.131	-0.169	-0.204	-0.100	-0.297	-0.105	-0.198	-0.316	-0.269	-0.232	-0.366	-0.179	-0.163	-0.157	-0.369	-0.077	-0.133	-0.315	-0.112	-0.321	-0.216	-0.086	-0.330
PAAD	AVL9	3	-0.129	0.042	-0.065	0.115	-0.090	0.025	0.042	-0.039	-0.030	0.129	-0.105	-0.117	0.115	-0.006	0.010	0.243	0.105	0.055	0.082	-0.005	-0.053	0.092	-0.114
PAAD	BBS10	3	0.007	-0.014	0.184	-0.003	0.059	0.100	0.073	0.073	0.165	0.086	0.065	-0.237	0.192	-0.077	0.038	0.077	0.034	0.116	0.169	-0.009	-0.034	0.093	-0.089
PAAD	BNIP3	3	-0.389	-0.351	-0.162	-0.423	-0.226	-0.187	-0.051	-0.232	-0.212	-0.156	-0.274	-0.506	-0.253	-0.563	-0.230	-0.283	-0.334	-0.159	-0.472	-0.449	-0.236	-0.206	-0.086
PAAD	BRI3BP	3	0.053	-0.014	0.069	-0.233	-0.077	0.021	-0.103	-0.073	-0.073	-0.005	-0.076	-0.165	-0.065	-0.281	-0.173	0.161	-0.134	-0.136	0.142	0.063	-0.072	0.104	-0.067
PAAD	C11orf45	3	0.100	0.218	0.146	0.131	-0.052	0.190	0.272	0.188	0.112	0.185	0.118	0.075	0.169	0.233	-0.052	0.139	0.229	0.188	0.111	0.146	-0.047	0.444	0.007
PAAD	C3orf80	3	0.091	0.159	0.239	0.210	0.033	0.033	0.261	0.067	0.095	0.198	0.111	0.229	0.181	0.321	0.100	0.175	0.191	0.042	0.261	0.061	-0.141	0.292	0.005
PAAD	CD244	3	0.001	0.173	0.106	-0.016	0.082	0.147	-0.037	0.109	-0.076	0.071	0.091	-0.107	0.170	-0.182	-0.014	0.059	0.036	0.083	0.109	0.083	0.122	0.247	0.138
PAAD	CLEC17A	3	-0.135	0.011	0.119	-0.155	-0.187	0.049	-0.019	0.004	-0.118	-0.048	0.013	-0.297	-0.103	-0.305	-0.097	0.015	-0.011	0.039	0.082	0.010	0.127	0.376	-0.030
PAAD	DDX25	3	0.023	0.099	0.219	-0.149	-0.070	0.018	0.001	-0.052	-0.098	0.024	-0.005	-0.296	-0.032	-0.125	-0.020	0.038	0.010	0.081	0.081	0.035	-0.005	0.090	0.046
PAAD	EEF1E1	3	-0.272	-0.338	-0.257	-0.200	-0.405	-0.273	-0.247	-0.296	-0.492	-0.244	-0.704	-0.390	-0.250	-0.262	-0.847	-0.146	-0.268	-0.308	-0.099	-0.171	-0.603	-0.268	-0.321
PAAD	EFNA2	3	-0.046	-0.115	-0.015	-0.145	-0.204	-0.172	0.027	-0.121	-0.208	0.001	-0.246	-0.321	-0.267	-0.254	-0.122	0.062	-0.320	-0.137	-0.173	-0.338	-0.212	-0.017	-0.233
PAAD	EXOSC2	3	-1.313	-1.211	-1.021	-1.072	-1.313	-1.164	-1.005	-0.989	-1.225	-1.033	-1.078	-1.251	-1.115	-1.001	-1.145	-0.858	-1.090	-1.109	-0.892	-1.195	-1.268	-0.959	-1.108
PAAD	FAM149B1	3	0.141	0.017	0.256	-0.030	0.116	0.246	0.194	0.146	-0.177	-0.002	0.119	-0.097	0.109	-0.185	0.028	0.070	0.016	0.155	0.058	0.104	0.044	0.348	0.210
PAAD	GABRG2	3	0.117	-0.021	0.145	-0.033	0.067	0.216	-0.006	0.102	0.071	0.163	0.048	-0.057	0.114	-0.094	0.115	0.064	0.058	0.221	0.189	0.150	0.015	0.193	0.026
PAAD	GDA	3	-0.031	-0.042	0.086	-0.118	0.064	-0.083	0.081	-0.020	0.022	-0.083	0.026	-0.048	0.024	-0.307	0.022	0.120	-0.086	0.108	0.109	-0.130	-0.047	0.214	-0.100
PAAD	GRK2	3	-0.972	-0.150	-0.081	-0.549	-0.479	-0.040	-0.257	-0.400	-0.653	-0.308	-0.113	0.022	-0.265	-0.178	-0.553	-0.192	-0.112	-0.107	-0.438	-0.969	-0.391	-0.310	-1.151
PAAD	HOXA7	3	-0.169	-0.369	-0.214	-0.010	-0.165	-0.119	-0.183	-0.212	-0.226	-0.037	-0.231	-0.018	-0.148	-0.032	-0.176	-0.120	-0.136	-0.083	-0.057	-0.202	-0.300	-0.016	-0.337
PAAD	HPS5	3	0.029	-0.041	0.014	-0.200	-0.214	0.056	-0.223	-0.070	-0.147	-0.084	-0.071	-0.343	-0.085	-0.299	-0.114	-0.015	-0.181	-0.008	-0.018	-0.077	0.009	-0.270	-0.002
PAAD	INMT	3	-0.295	-0.204	-0.115	-0.039	-0.143	-0.025	0.025	-0.175	-0.341	-0.063	-0.137	-0.162	-0.145	0.061	-0.211	-0.169	-0.071	-0.093	-0.143	-0.257	-0.490	-0.378	-0.297
PAAD	KIAA1257	3	0.001	-0.045	-0.079	-0.196	-0.254	-0.086	-0.040	-0.072	-0.043	-0.130	-0.019	-0.228	-0.127	-0.196	-0.066	0.085	-0.168	-0.037	-0.114	-0.008	-0.170	-0.022	-0.083
PAAD	MCFD2	3	-0.090	-0.113	-0.110	-0.241	-0.107	-0.128	-0.232	-0.010	-0.293	-0.152	-0.203	-0.219	-0.122	-0.430	-0.114	-0.178	-0.256	-0.037	-0.083	-0.111	-0.182	0.067	-0.140
PAAD	MESD	3	-0.383	0.186	-0.136	-0.084	-0.386	0.108	-0.233	-0.177	-0.312	-0.095	-0.338	-0.284	-0.077	-0.190	-0.247	-0.131	-0.139	-0.099	-0.200	-0.329	-0.111	-0.183	-0.402
